,news_title,news_link,news_time
0,"China coal imports surged 200 per cent, export growth slowed",https://www.scmp.com/economy/economic-indicators/article/3158712/china-trade-export-growth-slowed-november-imports,2021-12-07
1,"UK business group calls on Beijing to improve market reforms, resume flights",https://www.scmp.com/economy/china-economy/article/3158683/uk-business-group-calls-beijing-improve-market-reforms-and,2021-12-07
2,"Taiwan Strait tensions threaten to disrupt chip trade, global supply chains",https://www.scmp.com/tech/tech-war/article/3158673/us-china-tech-war-semiconductor-links-across-taiwan-strait-faces,2021-12-07
3,China to cut banks’ reserve requirement ratio again to boost economic growth,https://www.scmp.com/economy/china-economy/article/3158649/china-cut-reserve-requirement-ratio-second-time-year-boost,2021-12-07
4,China’s green development plan for industrial sector lacks road map,https://www.scmp.com/business/china-business/article/3158643/chinas-five-year-green-development-plan-industrial-sector,2021-12-07
5,China’s grain output hits new high in 2021 amid food security drive,https://www.scmp.com/economy/china-economy/article/3158632/chinas-grain-output-hits-new-high-2021-food-security-drive,2021-12-07
6,More evidence China on high alert for monetary policy changes from US and EU,https://www.scmp.com/news/article/3158538/china-calls-better-international-consultation-over-monetary-policy-ensure,2021-12-06
7,Opinion| What both US and China get wrong on economic policy,https://www.scmp.com/comment/opinion/article/3158308/what-both-us-and-china-get-wrong-economic-policy-and-trade,2021-12-05
8,Explainer| Will China and six other emerging economies render the G7 redundant?,https://www.scmp.com/economy/global-economy/article/3158314/will-china-and-its-e7-emerging-economies-render-g7-redundant,2021-12-06
9,Time for a tax break for China’s Covid-hit SMEs: former mayor,https://www.scmp.com/news/article/3158531/time-permanent-tax-break-chinas-covid-hit-small-businesses-former-mayor-says,2021-12-05
10,"Ignoring demand for foreign education, Beijing introduces tough curbs",https://www.scmp.com/economy/china-economy/article/3158333/chinas-middle-class-families-fret-president-xi-jinping,2021-12-05
11,‘Everyone is frustrated’: international students wait in limbo for China to open,https://www.scmp.com/news/china/article/3158455/international-university-students-wait-china-remains-closed-them,2021-12-05
12,"Rising cost of living leaves Chinese less willing, and less able, to consume",https://www.scmp.com/economy/china-economy/article/3158350/chinas-rising-living-costs-economic-uncertainties-leave-lower,2021-12-04
13,‘Much earlier than expected’: China’s population set to peak in 2021,https://www.scmp.com/tech/policy/article/3158373/chinas-population-peak-2021-demographic-turning-point-has-already,2021-12-04
14,Fund sees bright future in solar after betting against private tutoring,https://www.scmp.com/tech/article/3158451/strategic-vision-fund-bets-solar-after-calling-chinas-private-tutoring,2021-12-04
15,Key China economic meeting set to start next week: sources,https://www.scmp.com/economy/china-economy/article/3158408/key-china-economic-planning-meeting-said-be-set-next-week,2021-12-07
16,China pledges ‘better business environment’ for foreign firms,https://www.scmp.com/economy/china-economy/article/3158317/china-pledges-fast-track-entry-foreign-workers-frustration,2021-12-03
17,Boeing 737 MAX to return to China’s skies by ‘beginning of next year’,https://www.scmp.com/economy/global-economy/article/3158330/boeing-737-max-return-chinas-skies-beginning-next-year-more,2021-12-03
18,"Inflation, virus weigh on China’s services sector activity as expansion slows",https://www.scmp.com/economy/economic-indicators/article/3158258/chinas-services-sector-activity-expands-slower-pace,2021-12-03
19,Hong Kong takes lead to help Hainan’s free-trade development,https://www.scmp.com/business/china-business/article/3158160/hong-kong-eyes-bigger-role-market-it-helps-hainan-free,2021-12-03
20,China urged to boost ‘all possible’ global trade bonds in face of US pressure,https://www.scmp.com/economy/china-economy/article/3158209/chinese-think-tank-urges-beijing-strengthen-global-trade,2021-12-03
21,US moves a step closer to delisting Chinese firms on American stock exchanges,https://www.scmp.com/news/world/united-states-canada/article/3158245/us-moves-step-closer-delisting-chinese-companies,2021-12-03
22,Yellen says cutting some tariffs on Chinese goods could ease price pressures,https://www.scmp.com/news/world/united-states-canada/article/3158239/us-treasury-secretary-janet-yellen-says-cutting,2021-12-02
23,Economic growth is ‘biggest challenge’ for Beijing in 2022,https://www.scmp.com/economy/china-economy/article/3158194/chinas-economic-growth-biggest-challenge-beijing-2022-senior,2021-12-03
24,"Omicron stokes global economic risks, but ‘financial turmoil’ unlikely",https://www.scmp.com/economy/china-economy/article/3158214/china-alert-global-economic-risks-omicron-financial-turmoil,2021-12-03
25,Canada Goose hit by nationalist backlash over no-returns policy,https://www.scmp.com/news/china/diplomacy/article/3158201/canada-goose-says-all-chinese-customers-can-return-clothes,2021-12-06
26,"China’s market for NFTs, metaverse may drive money laundering",https://www.scmp.com/tech/policy/article/3158170/chinas-growing-market-nfts-metaverse-could-foster-new-money-laundering,2021-12-02
27,EU firms worried by China’s ‘state-centric approach’ to technical standards,https://www.scmp.com/economy/global-economy/article/3158067/eu-companies-worried-chinas-state-centric-approach-technical,2021-12-02
28,China not rolling the dice on money outflows as Beijing extends battle lines,https://www.scmp.com/economy/china-economy/article/3158048/china-extends-battle-lines-manage-capital-outflows-beijing,2021-12-01
